AccNo,Type,PhoneNo,CallTime,Duration
SA-0114-12-73,L,62592824,9/8/2011 8:25,911
SA-0080-84-93,L,67558546,2/4/2012 4:11,726
SA-0107-05-98,L,69302188,1/5/2012 16:46,644
SA-0339-42-22,L,69190341,24/9/2012 9:12,443
SA-0252-71-33,L,63469078,19/3/2011 0:30,647
SA-0314-69-44,L,69500876,18/6/2011 1:18,821
SA-0012-71-76,L,66578331,8/3/2011 2:13,665
SA-0092-93-02,L,65343032,20/9/2012 23:26,283
SA-0401-55-12,L,68695318,28/2/2011 15:24,345
SA-0303-06-26,L,63694078,12/5/2012 9:52,943
SA-0063-02-33,L,69090030,26/11/2011 14:00,769
SA-0033-12-88,L,68948257,20/11/2012 12:47,87
SA-0063-02-33,L,60754874,5/4/2011 21:14,529
SA-0114-12-73,L,62480682,8/5/2011 19:37,359
SA-0012-71-76,L,64157613,23/4/2011 15:13,840
SA-0144-10-84,L,64368772,27/1/2011 0:00,830
SA-0187-35-19,L,61814652,18/5/2011 14:30,391
SA-0033-12-88,L,67283833,22/4/2011 22:01,305
SA-0378-80-96,L,61546157,11/8/2012 12:06,745
SA-0361-84-31,L,63778556,2/8/2012 10:18,739
SA-0202-82-34,L,61188905,15/8/2012 8:31,799
SA-0185-10-64,L,69471277,6/11/2012 3:12,460
SA-0144-10-84,L,65348423,25/12/2012 5:19,512
SA-0145-41-01,L,63895795,22/10/2011 19:52,279
SA-0279-91-74,L,65379751,17/10/2011 23:35,465
SA-0114-12-73,L,67035493,22/4/2012 23:12,614
SA-0005-14-91,L,61383752,8/7/2011 13:05,86
SA-0220-48-64,L,69956337,11/6/2011 0:32,258
SA-0145-41-01,L,66145753,25/5/2012 5:43,877
SA-0252-71-33,L,61279302,12/11/2011 18:21,480
SA-0220-61-46,L,69712539,8/8/2011 3:09,944
SA-0021-95-06,L,61729503,14/9/2011 17:14,286
SA-0314-69-44,L,64767925,17/6/2011 8:04,295
SA-0220-61-46,L,61660541,24/6/2012 21:02,245
SA-0021-95-06,L,69655340,30/5/2011 17:03,634
SA-0012-71-76,L,68469351,17/9/2012 22:47,425
SA-0279-91-74,L,67534876,22/7/2012 0:51,964
SA-0055-36-68,L,65895615,11/4/2012 9:02,870
SA-0220-61-46,L,66750520,14/1/2012 23:56,289
SA-0009-04-02,L,66964274,16/3/2012 6:05,970
SA-0343-60-69,L,67328105,17/7/2012 23:35,548
SA-0220-48-64,L,63949647,20/12/2011 8:57,396
SA-0414-86-48,L,63419778,30/1/2012 3:08,356
SA-0021-95-06,L,64862282,25/6/2012 13:02,186
SA-0080-84-93,L,64075442,13/2/2011 15:40,732
SA-0138-33-52,L,61403607,16/8/2012 20:20,985
SA-0147-43-82,L,63576202,5/2/2011 2:24,588
SA-0314-69-44,L,61812721,26/8/2012 1:36,228
SA-0222-28-58,L,61562499,3/7/2011 17:56,172
SA-0222-28-58,L,60072009,5/6/2011 13:07,166
SA-0343-60-69,L,61207285,12/11/2011 6:37,626
SA-0378-80-96,L,61382745,14/4/2011 16:10,557
