AccNo,CaMVLMVLTMVIme,Type,PhoneNo,DuMVRatMVIon
SA-0114-12-73,9/8/2011 8:25,MVL,62592824,911
SA-0080-84-93,2/4/2012 4:11,MVL,67558546,726
SA-0107-05-98,1/5/2012 16:46,MVL,69302188,644
SA-0339-42-22,24/9/2012 9:12,MVL,69190341,443
SA-0252-71-33,19/3/2011 0:30,MVL,63469078,647
SA-0314-69-44,18/6/2011 1:18,MVL,69500876,821
SA-0012-71-76,8/3/2011 2:13,MVL,66578331,665
SA-0092-93-02,20/9/2012 23:26,MVL,65343032,283
SA-0401-55-12,28/2/2011 15:24,MVL,68695318,345
SA-0303-06-26,12/5/2012 9:52,MVL,63694078,943
SA-0063-02-33,26/11/2011 14:00,MVL,69090030,769
SA-0033-12-88,20/11/2012 12:47,MVL,68948257,87
SA-0063-02-33,5/4/2011 21:14,MVL,60754874,529
SA-0114-12-73,8/5/2011 19:37,MVL,62480682,359
SA-0012-71-76,23/4/2011 15:13,MVL,64157613,840
SA-0144-10-84,27/1/2011 0:00,MVL,64368772,830
SA-0187-35-19,18/5/2011 14:30,MVL,61814652,391
SA-0033-12-88,22/4/2011 22:01,MVL,67283833,305
SA-0378-80-96,11/8/2012 12:06,MVL,61546157,745
SA-0361-84-31,2/8/2012 10:18,MVL,63778556,739
SA-0202-82-34,15/8/2012 8:31,MVL,61188905,799
SA-0185-10-64,6/11/2012 3:12,MVL,69471277,460
SA-0144-10-84,25/12/2012 5:19,MVL,65348423,512
SA-0145-41-01,22/10/2011 19:52,MVL,63895795,279
SA-0279-91-74,17/10/2011 23:35,MVL,65379751,465
SA-0114-12-73,22/4/2012 23:12,MVL,67035493,614
SA-0005-14-91,8/7/2011 13:05,MVL,61383752,86
SA-0220-48-64,11/6/2011 0:32,MVL,69956337,258
SA-0145-41-01,25/5/2012 5:43,MVL,66145753,877
SA-0252-71-33,12/11/2011 18:21,MVL,61279302,480
SA-0220-61-46,8/8/2011 3:09,MVL,69712539,944
SA-0021-95-06,14/9/2011 17:14,MVL,61729503,286
SA-0314-69-44,17/6/2011 8:04,MVL,64767925,295
SA-0220-61-46,24/6/2012 21:02,MVL,61660541,245
SA-0021-95-06,30/5/2011 17:03,MVL,69655340,634
SA-0012-71-76,17/9/2012 22:47,MVL,68469351,425
SA-0279-91-74,22/7/2012 0:51,MVL,67534876,964
SA-0055-36-68,11/4/2012 9:02,MVL,65895615,870
SA-0220-61-46,14/1/2012 23:56,MVL,66750520,289
SA-0009-04-02,16/3/2012 6:05,MVL,66964274,970
SA-0343-60-69,17/7/2012 23:35,MVL,67328105,548
SA-0220-48-64,20/12/2011 8:57,MVL,63949647,396
SA-0414-86-48,30/1/2012 3:08,MVL,63419778,356
SA-0021-95-06,25/6/2012 13:02,MVL,64862282,186
SA-0080-84-93,13/2/2011 15:40,MVL,64075442,732
SA-0138-33-52,16/8/2012 20:20,MVL,61403607,985
SA-0147-43-82,5/2/2011 2:24,MVL,63576202,588
SA-0314-69-44,26/8/2012 1:36,MVL,61812721,228
SA-0222-28-58,3/7/2011 17:56,MVL,61562499,172
SA-0222-28-58,5/6/2011 13:07,MVL,60072009,166
SA-0343-60-69,12/11/2011 6:37,MVL,61207285,626
SA-0378-80-96,14/4/2011 16:10,MVL,61382745,557
SA-0187-35-19,17/2/2012 2:32,MVL,63443122,828
SA-0144-10-84,6/8/2011 13:52,MVL,64273707,944
SA-0138-33-52,7/12/2012 11:57,MVL,68934873,249
SA-0037-94-05,12/3/2012 5:58,MVL,61686307,988
SA-0220-48-64,5/9/2011 1:01,MVL,64125161,895
SA-0144-10-84,7/8/2012 9:56,MVL,68663951,968
SA-0012-71-76,16/7/2012 19:05,MVL,68121365,999
SA-0144-10-84,17/7/2011 7:21,MVL,62628826,539
SA-0220-61-46,5/3/2012 12:11,MVL,62142880,770
SA-0012-71-76,22/2/2011 14:21,MVL,64693824,266
SA-0222-28-58,31/1/2012 6:33,MVL,61874347,616
SA-0339-42-22,2/7/2011 15:01,MVL,63660382,211
SA-0252-71-33,11/5/2011 15:39,MVL,60043077,681
SA-0414-86-48,26/4/2011 5:09,MVL,67229921,670
SA-0107-05-98,11/7/2011 16:29,MVL,69273477,480
SA-0279-91-74,4/7/2011 22:24,MVL,61546605,103
SA-0314-69-44,22/11/2012 19:44,MVL,65628064,404
SA-0312-94-95,3/9/2011 6:47,MVL,67388955,383
SA-0414-86-48,24/5/2011 2:52,MVL,60933822,244
SA-0312-94-95,4/10/2011 6:18,MVL,62685604,346
SA-0401-55-12,5/12/2012 3:16,MVL,64395584,309
SA-0114-12-73,22/12/2011 18:48,MVL,68712565,734
SA-0107-05-98,18/12/2011 12:22,MVL,64867731,280
SA-0414-20-79,17/2/2011 15:50,MVL,63710297,915
SA-0005-14-91,22/7/2012 10:50,MVL,68835241,598
SA-0305-50-15,4/1/2012 5:46,MVL,67944352,978
SA-0112-53-34,4/11/2012 17:53,MVL,62093768,758
SA-0222-28-58,20/3/2012 15:46,MVL,60702434,687
SA-0343-60-69,30/11/2011 6:58,MVL,65888693,300
SA-0144-10-84,3/12/2011 0:44,MVL,64645892,194
SA-0279-91-74,23/2/2012 3:19,MVL,66373857,163
SA-0187-35-19,17/5/2012 11:43,MVL,66315191,807
SA-0187-35-19,18/9/2012 1:27,MVL,66315556,207
SA-0133-16-62,20/9/2012 11:50,MVL,60787756,852
SA-0151-98-79,28/11/2012 12:16,MVL,67263082,71
SA-0222-28-58,16/8/2012 2:31,MVL,69494084,569
SA-0063-02-33,7/11/2012 6:49,MVL,61043950,901
SA-0037-94-05,17/4/2011 14:27,MVL,68609086,891
SA-0185-10-64,22/4/2012 13:11,MVL,66111950,73
SA-0186-07-48,15/5/2012 12:52,MVL,61134190,711
SA-0033-12-88,22/5/2012 0:47,MVL,65861726,480
SA-0055-36-68,2/6/2012 14:04,MVL,65784854,919
SA-0080-84-93,6/2/2011 10:16,MVL,67257822,244
SA-0343-60-69,26/7/2012 23:58,MVL,63840187,585
SA-0227-78-67,6/2/2011 13:09,MVL,65174822,802
SA-0361-84-31,23/12/2012 18:58,MVL,68903983,564
SA-0012-71-76,25/5/2011 12:25,MVL,65774149,816
SA-0063-02-33,6/4/2012 19:37,MVL,63417895,379
SA-0063-02-33,4/3/2011 22:19,MVL,64995214,310
