AccNo,Type,PhoneNo,CallTime,During_in_secs
SA-0263-79-37,L,60068881,2012-03-20 17:58:42,2098
SA-0335-96-08,L,60184011,2012-02-01 17:56:31,2781
SA-0227-78-67,L,65804356,2011-07-31 17:32:56,1499
SA-0261-41-34,L,68798814,2011-12-02 13:55:22,2250
SA-0314-69-44,L,63203273,2011-11-01 02:23:57,1700
SA-0202-82-34,L,60142333,2011-08-18 23:14:11,3349
SA-0343-60-69,L,61510396,2011-03-01 22:38:23,1561
SA-0279-91-74,L,61279621,2011-09-02 05:31:45,1813
SA-0314-69-44,L,64434617,2011-01-08 14:27:00,3198
SA-0005-14-91,L,60993142,2011-04-22 22:08:44,449
SA-0378-80-96,L,60261948,2012-07-14 17:11:05,1484
SA-0414-86-48,L,62494946,2012-09-22 15:01:36,3047
SA-0222-28-58,L,64070497,2011-06-27 12:52:40,107
SA-0314-69-44,L,62339886,2011-08-18 22:01:44,1578
SA-0414-86-48,L,66959827,2012-05-29 20:17:08,2784
SA-0222-28-58,L,69209908,2011-06-12 10:00:45,1109
SA-0343-60-69,L,68131658,2012-05-04 12:26:35,1790
SA-0144-10-84,L,63174226,2011-08-07 01:16:47,1077
SA-0252-71-33,L,60541551,2012-09-19 15:11:22,3467
SA-0303-06-26,L,68819955,2012-02-26 04:24:24,309
SA-0187-35-19,L,61539835,2011-10-14 19:58:58,2976
SA-0182-19-79,L,69207154,2011-07-26 06:13:49,1074
SA-0220-61-46,L,64597620,2012-06-09 21:21:32,2520
SA-0107-05-98,L,65863904,2011-08-21 00:02:16,68
SA-0263-79-37,L,60600324,2012-07-21 08:30:16,2811
SA-0050-81-89,L,62681440,2011-10-09 13:58:41,1822
SA-0107-05-98,L,68157094,2012-07-15 00:39:46,676
SA-0202-82-34,L,68473569,2012-08-23 18:45:00,1032
SA-0063-02-33,L,66996434,2012-05-25 14:53:45,3138
SA-0112-53-34,L,60946271,2012-05-20 23:10:59,3518
SA-0187-35-19,L,68581115,2011-01-25 06:18:44,1615
SA-0339-42-22,L,61421185,2011-07-31 21:42:47,192
SA-0220-48-64,L,60082088,2012-12-18 23:39:14,2469
SA-0107-05-98,L,67220375,2012-09-12 22:46:47,3070
SA-0155-74-77,L,63172128,2012-03-23 04:15:21,2202
SA-0378-80-96,L,69681769,2012-12-13 22:21:56,94
SA-0263-79-37,L,60259487,2011-04-25 20:43:01,2846
SA-0314-69-44,L,61966107,2011-01-28 19:39:49,2668
SA-0021-95-06,L,62064752,2011-06-08 08:54:31,3368
SA-0343-60-69,L,62071035,2012-05-11 10:30:01,3055
SA-0361-84-31,L,63778848,2011-07-25 18:14:32,1857
SA-0335-96-08,L,62717697,2012-06-27 05:08:09,1551
SA-0005-14-91,L,64502880,2011-07-28 06:27:52,2911
SA-0009-04-02,L,61932138,2012-01-30 22:39:33,910
SA-0414-86-48,L,69435174,2011-03-31 09:47:00,455
SA-0303-06-26,L,60413666,2011-08-30 15:34:28,3486
SA-0220-61-46,L,68842500,2012-02-29 02:40:52,691
SA-0261-41-34,L,66864523,2011-01-17 20:24:39,2480
SA-0155-74-77,L,65476858,2011-10-11 11:30:57,1462
SA-0133-16-62,L,66079218,2011-07-25 02:28:38,1392
SA-0202-82-34,L,62281637,2012-06-16 21:45:49,3004
SA-0303-06-26,L,63533409,2011-01-24 15:16:08,2649
SA-0314-69-44,L,64078533,2011-09-24 09:26:14,2630
SA-0080-84-93,L,65122586,2011-04-04 00:04:58,3290
SA-0080-84-93,L,69731303,2011-07-18 00:41:03,908
SA-0414-86-48,L,60399475,2011-02-09 18:12:12,3447
SA-0185-59-07,L,69206919,2012-07-05 11:16:13,3081
SA-0361-84-31,L,68340685,2012-11-27 05:31:39,3580
SA-0033-12-88,L,62702406,2011-08-30 13:08:21,1957
SA-0220-61-46,L,65166917,2011-04-12 01:22:47,320
SA-0005-14-91,L,67237074,2011-06-05 15:22:56,1581
SA-0378-80-96,L,67071796,2012-07-25 11:45:51,3115
SA-0361-84-31,L,67103734,2011-05-17 00:25:56,885
