AccNo,Type,PhoneNo,CallTime,Duration
SA-0114-12-73,L,62592824,2011-08-09 08:25:56,911
SA-0080-84-93,L,67558546,2012-04-02 04:11:45,726
SA-0107-05-98,L,69302188,2012-05-01 16:46:13,644
SA-0339-42-22,L,69190341,2012-09-24 09:12:13,443
SA-0252-71-33,L,63469078,2011-03-19 00:30:24,647
SA-0314-69-44,L,69500876,2011-06-18 01:18:16,821
SA-0012-71-76,L,66578331,2011-03-08 02:13:47,665
SA-0092-93-02,L,65343032,2012-09-20 23:26:22,283
SA-0401-55-12,L,68695318,2011-02-28 15:24:12,345
SA-0303-06-26,L,63694078,2012-05-12 09:52:24,943
SA-0063-02-33,L,69090030,2011-11-26 14:00:07,769
SA-0033-12-88,L,68948257,2012-11-20 12:47:29,87
SA-0063-02-33,L,60754874,2011-04-05 21:14:36,529
SA-0114-12-73,L,62480682,2011-05-08 19:37:17,359
SA-0012-71-76,L,64157613,2011-04-23 15:13:50,840
SA-0144-10-84,L,64368772,2011-01-27 00:00:03,830
SA-0187-35-19,L,61814652,2011-05-18 14:30:26,391
SA-0033-12-88,L,67283833,2011-04-22 22:01:30,305
SA-0378-80-96,L,61546157,2012-08-11 12:06:55,745
SA-0361-84-31,L,63778556,2012-08-02 10:18:20,739
SA-0202-82-34,L,61188905,2012-08-15 08:31:00,799
SA-0185-10-64,L,69471277,2012-11-06 03:12:44,460
SA-0144-10-84,L,65348423,2012-12-25 05:19:23,512
SA-0145-41-01,L,63895795,2011-10-22 19:52:16,279
SA-0279-91-74,L,65379751,2011-10-17 23:35:56,465
SA-0114-12-73,L,67035493,2012-04-22 23:12:40,614
SA-0005-14-91,L,61383752,2011-07-08 13:05:05,86
SA-0220-48-64,L,69956337,2011-06-11 00:32:00,258
SA-0145-41-01,L,66145753,2012-05-25 05:43:22,877
SA-0252-71-33,L,61279302,2011-11-12 18:21:11,480
SA-0220-61-46,L,69712539,2011-08-08 03:09:21,944
SA-0021-95-06,L,61729503,2011-09-14 17:14:12,286
SA-0314-69-44,L,64767925,2011-06-17 08:04:22,295
SA-0220-61-46,L,61660541,2012-06-24 21:02:35,245
SA-0021-95-06,L,69655340,2011-05-30 17:03:29,634
SA-0012-71-76,L,68469351,2012-09-17 22:47:01,425
SA-0279-91-74,L,67534876,2012-07-22 00:51:23,964
SA-0055-36-68,L,65895615,2012-04-11 09:02:40,870
SA-0220-61-46,L,66750520,2012-01-14 23:56:28,289
SA-0009-04-02,L,66964274,2012-03-16 06:05:56,970
SA-0343-60-69,L,67328105,2012-07-17 23:35:54,548
SA-0220-48-64,L,63949647,2011-12-20 08:57:18,396
SA-0414-86-48,L,63419778,2012-01-30 03:08:02,356
SA-0021-95-06,L,64862282,2012-06-25 13:02:58,186
SA-0080-84-93,L,64075442,2011-02-13 15:40:17,732
SA-0138-33-52,L,61403607,2012-08-16 20:20:30,985
SA-0147-43-82,L,63576202,2011-02-05 02:24:02,588
SA-0314-69-44,L,61812721,2012-08-26 01:36:38,228
SA-0222-28-58,L,61562499,2011-07-03 17:56:03,172
SA-0222-28-58,L,60072009,2011-06-05 13:07:32,166
SA-0343-60-69,L,61207285,2011-11-12 06:37:14,626
SA-0378-80-96,L,61382745,2011-04-14 16:10:06,557
SA-0187-35-19,L,63443122,2012-02-17 02:32:31,828
SA-0144-10-84,L,64273707,2011-08-06 13:52:21,944
SA-0138-33-52,L,68934873,2012-12-07 11:57:47,249
SA-0037-94-05,L,61686307,2012-03-12 05:58:55,988
SA-0220-48-64,L,64125161,2011-09-05 01:01:25,895
SA-0144-10-84,L,68663951,2012-08-07 09:56:05,968
SA-0012-71-76,L,68121365,2012-07-16 19:05:33,999
SA-0144-10-84,L,62628826,2011-07-17 07:21:50,539
SA-0220-61-46,L,62142880,2012-03-05 12:11:08,770
SA-0012-71-76,L,64693824,2011-02-22 14:21:42,266
SA-0222-28-58,L,61874347,2012-01-31 06:33:25,616
SA-0339-42-22,L,63660382,2011-07-02 15:01:21,211
SA-0252-71-33,L,60043077,2011-05-11 15:39:37,681
SA-0414-86-48,L,67229921,2011-04-26 05:09:30,670
SA-0107-05-98,L,69273477,2011-07-11 16:29:12,480
SA-0279-91-74,L,61546605,2011-07-04 22:24:35,103
SA-0314-69-44,L,65628064,2012-11-22 19:44:26,404
SA-0312-94-95,L,67388955,2011-09-03 06:47:46,383
SA-0414-86-48,L,60933822,2011-05-24 02:52:58,244
SA-0312-94-95,L,62685604,2011-10-04 06:18:02,346
SA-0401-55-12,L,64395584,2012-12-05 03:16:11,309
SA-0114-12-73,L,68712565,2011-12-22 18:48:57,734
SA-0107-05-98,L,64867731,2011-12-18 12:22:57,280
SA-0414-20-79,L,63710297,2011-02-17 15:50:50,915
SA-0005-14-91,L,68835241,2012-07-22 10:50:56,598
SA-0305-50-15,L,67944352,2012-01-04 05:46:17,978
SA-0112-53-34,L,62093768,2012-11-04 17:53:19,758
SA-0222-28-58,L,60702434,2012-03-20 15:46:09,687
SA-0343-60-69,L,65888693,2011-11-30 06:58:09,300
SA-0144-10-84,L,64645892,2011-12-03 00:44:27,194
SA-0279-91-74,L,66373857,2012-02-23 03:19:16,163
SA-0187-35-19,L,66315191,2012-05-17 11:43:43,807
SA-0187-35-19,L,66315556,2012-09-18 01:27:41,207
SA-0133-16-62,L,60787756,2012-09-20 11:50:21,852
SA-0151-98-79,L,67263082,2012-11-28 12:16:14,71
SA-0222-28-58,L,69494084,2012-08-16 02:31:56,569
SA-0063-02-33,L,61043950,2012-11-07 06:49:57,901
SA-0037-94-05,L,68609086,2011-04-17 14:27:09,891
SA-0185-10-64,L,66111950,2012-04-22 13:11:56,73
SA-0186-07-48,L,61134190,2012-05-15 12:52:43,711
SA-0033-12-88,L,65861726,2012-05-22 00:47:59,480
SA-0055-36-68,L,65784854,2012-06-02 14:04:09,919
SA-0080-84-93,L,67257822,2011-02-06 10:16:36,244
SA-0343-60-69,L,63840187,2012-07-26 23:58:08,585
SA-0227-78-67,L,65174822,2011-02-06 13:09:50,802
SA-0361-84-31,L,68903983,2012-12-23 18:58:34,564
SA-0012-71-76,L,65774149,2011-05-25 12:25:21,816
SA-0063-02-33,L,63417895,2012-04-06 19:37:07,379
SA-0063-02-33,L,64995214,2011-03-04 22:19:46,310
SA-0185-10-64,L,69524096,2012-05-24 05:46:10,149
SA-0114-12-73,L,67564604,2012-01-10 20:35:21,311
SA-0312-94-95,L,66836312,2012-03-30 17:18:30,325
SA-0210-42-47,L,67722159,2011-06-17 08:20:32,482
SA-0249-45-54,L,66906783,2012-01-16 13:05:51,479
SA-0314-69-44,L,67804378,2012-04-08 04:47:48,282
SA-0202-82-34,L,62689548,2012-02-04 12:42:55,93
SA-0033-12-88,L,62745427,2011-12-02 13:26:01,509
SA-0414-86-48,L,66312866,2012-09-06 20:58:33,752
SA-0249-45-54,L,68322973,2011-02-08 23:48:58,364
SA-0335-96-08,L,62585556,2011-04-30 04:09:46,535
SA-0080-84-93,L,66339230,2012-02-11 18:31:00,414
SA-0112-53-34,L,64012059,2011-04-17 09:22:46,536
SA-0303-06-26,L,64803814,2012-06-16 16:12:51,330
SA-0249-45-54,L,66241366,2012-05-09 05:37:10,205
SA-0185-59-07,L,69615152,2011-06-15 12:34:21,186
SA-0033-12-88,L,61418530,2012-12-20 10:30:29,218
SA-0303-06-26,L,69192311,2012-09-15 07:47:39,344
SA-0037-94-05,L,61566624,2012-07-21 05:52:24,361
SA-0182-19-79,L,67477478,2012-04-05 05:37:21,829
SA-0185-59-07,L,62697008,2011-06-10 10:56:42,157
SA-0138-33-52,L,64140586,2012-11-16 06:11:24,557
SA-0107-05-98,L,61929539,2012-01-10 20:14:47,586
SA-0107-05-98,L,63728280,2011-12-11 02:12:51,267
SA-0021-95-06,L,60297512,2011-12-29 23:52:43,311
SA-0249-45-54,L,66569359,2011-06-26 12:33:32,365
SA-0187-35-19,L,66677778,2012-12-21 03:32:33,789
SA-0005-14-91,L,64636235,2011-08-03 06:09:44,477
SA-0009-04-02,L,63331904,2012-12-01 05:25:20,63
SA-0133-16-62,L,67848477,2011-12-13 18:05:38,503
SA-0227-78-67,L,60094648,2012-06-21 05:11:05,478
SA-0182-19-79,L,64863701,2012-01-20 11:59:41,974
SA-0182-19-79,L,66353810,2012-06-16 11:48:29,355
SA-0249-45-54,L,67066922,2011-12-19 02:35:29,113
SA-0037-94-05,L,62959707,2011-03-02 01:52:17,426
SA-0303-06-26,L,60193500,2011-03-12 22:13:02,980
SA-0055-36-68,L,64626004,2012-04-18 15:10:26,166
SA-0112-53-34,L,66652077,2011-01-23 04:28:21,943
SA-0185-10-64,L,65601922,2011-09-29 12:43:12,346
SA-0261-41-34,L,60758420,2012-06-11 05:40:09,140
SA-0151-98-79,L,65595710,2011-03-03 06:24:58,762
SA-0314-69-44,L,69653959,2012-07-25 06:19:34,813
SA-0303-06-26,L,67687278,2012-04-24 00:13:23,544
SA-0033-12-88,L,67410370,2012-04-02 05:55:29,624
SA-0005-14-91,L,63038888,2011-05-03 15:25:14,710
SA-0303-06-26,L,63681089,2011-12-03 06:08:52,262
SA-0401-55-12,L,67262123,2011-11-29 07:37:29,304
SA-0185-10-64,L,64440946,2012-02-13 18:14:08,107
SA-0021-95-06,L,69330205,2011-03-21 03:02:05,738
SA-0114-12-73,L,66863577,2012-08-15 21:20:42,119
SA-0145-41-01,L,63798430,2012-11-04 14:37:50,388
SA-0312-94-95,L,60119641,2012-01-21 00:05:56,685
SA-0227-78-67,L,65679520,2011-05-16 08:07:22,620
SA-0279-91-74,L,63892735,2011-09-28 10:41:18,109
SA-0021-95-06,L,63374429,2012-04-22 16:44:45,696
SA-0009-04-02,L,64591639,2012-10-21 18:05:14,527
SA-0210-42-47,L,63967078,2012-05-20 21:02:19,144
SA-0186-07-48,L,62616398,2011-10-02 09:53:18,156
SA-0227-78-67,L,60317766,2012-11-05 04:32:14,719
SA-0252-71-33,L,60442508,2011-11-16 21:03:27,829
SA-0185-10-64,L,62829841,2011-10-11 10:09:56,752
SA-0155-74-77,L,60271062,2012-01-26 15:59:07,337
SA-0220-61-46,L,61316750,2011-09-22 12:33:29,305
SA-0185-10-64,L,62287926,2012-04-30 08:33:52,380
SA-0186-07-48,L,65413831,2012-05-16 19:05:37,772
SA-0339-42-22,L,66059431,2012-08-16 13:04:29,218
SA-0185-59-07,L,60961520,2012-02-04 00:05:45,202
SA-0138-33-52,L,62197131,2012-04-26 20:03:30,943
SA-0305-50-15,L,69571850,2012-06-18 22:43:36,221
SA-0138-33-52,L,68078774,2012-07-09 10:04:19,563
SA-0063-02-33,L,66989048,2011-06-17 07:46:34,535
SA-0155-74-77,L,69407012,2011-03-27 06:42:53,128
SA-0107-05-98,L,65398293,2011-03-10 12:54:12,597
SA-0112-53-34,L,65458549,2012-08-23 23:46:47,138
SA-0261-41-34,L,69784547,2012-02-01 02:53:01,599
SA-0335-96-08,L,68482871,2011-08-10 07:17:11,889
SA-0092-93-02,L,68256690,2011-01-31 03:01:28,114
SA-0414-86-48,L,68641480,2012-10-30 12:48:35,396
SA-0092-93-02,L,67018790,2011-12-03 22:21:29,834
SA-0114-12-73,L,68184340,2011-08-21 05:26:56,831
SA-0185-59-07,L,65148871,2011-12-09 11:03:39,60
SA-0182-19-79,L,65046770,2012-05-09 04:21:42,264
SA-0185-10-64,L,63571467,2011-01-03 21:24:03,631
SA-0339-42-22,L,65388090,2012-11-03 03:18:57,498
SA-0290-06-89,L,67823448,2012-08-19 10:43:22,632
SA-0227-78-67,L,63083094,2011-08-20 23:39:04,747
SA-0343-60-69,L,63853341,2012-05-12 17:19:08,343
SA-0147-43-82,L,68729653,2012-02-06 13:17:01,858
SA-0305-50-15,L,61449212,2012-10-02 09:52:30,505
SA-0080-84-93,L,64088223,2012-08-26 14:01:39,997
SA-0155-74-77,L,68871725,2012-11-28 21:27:29,750
SA-0144-10-84,L,61676446,2011-05-25 01:49:14,320
SA-0227-78-67,L,64651449,2011-05-27 09:21:53,917
SA-0339-42-22,L,60716964,2012-01-19 22:37:11,457
SA-0114-12-73,L,63792914,2011-07-25 19:03:14,441
SA-0263-79-37,L,64128219,2011-02-09 01:32:15,724
SA-0151-98-79,L,63802363,2012-03-19 09:11:53,865
SA-0037-94-05,L,60570662,2012-02-05 14:42:52,683
SA-0401-55-12,L,65151048,2012-01-07 14:24:53,87
SA-0252-71-33,L,64782305,2011-02-23 22:24:19,438
SA-0050-81-89,L,67009883,2012-09-10 16:45:35,816
SA-0063-02-33,L,60798048,2012-04-04 04:29:44,120
SA-0378-80-96,L,67133207,2012-04-02 03:01:51,823
SA-0305-50-15,L,64777670,2012-01-03 11:43:51,248
SA-0220-48-64,L,69072117,2012-12-26 18:03:22,433
SA-0303-06-26,L,60840132,2012-10-11 00:43:59,489
SA-0220-48-64,L,66231021,2012-07-23 09:34:31,406
SA-0414-20-79,L,66521574,2011-01-20 13:10:59,779
SA-0063-02-33,L,66074073,2011-06-29 08:45:25,341
SA-0133-16-62,L,63373424,2012-08-12 22:32:16,134
SA-0249-45-54,L,67000182,2011-06-24 09:17:24,261
SA-0305-50-15,L,63404102,2011-04-26 21:50:19,783
SA-0037-94-05,L,62892926,2011-01-27 20:38:16,839
SA-0220-61-46,L,69562564,2011-10-16 18:05:14,308
SA-0261-41-34,L,65594205,2012-09-11 09:07:35,638
SA-0249-45-54,L,63738895,2012-01-06 03:08:57,365
SA-0055-36-68,L,60053835,2011-02-12 09:18:48,277
SA-0210-42-47,L,68411973,2011-02-25 14:59:12,839
SA-0005-14-91,L,63450958,2012-12-24 06:37:32,827
SA-0092-93-02,L,68105745,2012-07-29 11:56:25,425
SA-0249-45-54,L,62678139,2012-01-19 20:02:25,799
SA-0222-28-58,L,64951175,2012-03-14 05:44:07,724
SA-0133-16-62,L,66122596,2011-06-26 17:19:23,837
SA-0005-14-91,L,63563055,2012-06-27 08:40:28,774
SA-0305-50-15,L,61348342,2011-10-24 06:24:27,386
SA-0343-60-69,L,69984327,2012-12-13 11:00:22,672
SA-0210-42-47,L,68211858,2011-10-19 09:42:26,632
SA-0155-74-77,L,64743218,2012-09-26 14:55:09,466
SA-0147-43-82,L,68598560,2011-07-20 22:37:03,791
SA-0144-10-84,L,69807669,2012-03-14 07:26:29,99
SA-0005-14-91,L,69276187,2012-11-06 05:55:10,634
SA-0021-95-06,L,62706485,2011-11-07 03:44:13,486
SA-0343-60-69,L,68738779,2011-03-04 02:51:16,830
SA-0263-79-37,L,65363353,2011-03-23 18:59:56,530
SA-0290-06-89,L,60125818,2012-09-15 03:49:36,516
SA-0063-02-33,L,60168053,2012-08-01 19:19:05,347
SA-0033-12-88,L,64221696,2012-11-06 23:43:15,539
SA-0037-94-05,L,61567357,2011-09-11 11:08:09,254
SA-0151-98-79,L,63018510,2011-02-02 19:08:50,99
SA-0114-12-73,L,65097274,2011-06-22 02:25:10,774
SA-0220-48-64,L,63779592,2012-05-08 23:24:00,547
SA-0151-98-79,L,69668474,2011-10-07 02:26:43,539
SA-0033-12-88,L,65468291,2011-06-12 23:59:12,958
SA-0414-86-48,L,64412008,2012-05-17 04:23:45,406
SA-0227-78-67,L,69036274,2012-06-01 23:53:57,615
SA-0055-36-68,L,62670951,2012-10-04 00:21:25,343
SA-0401-55-12,L,64844308,2012-10-22 07:18:32,679
SA-0305-50-15,L,65849194,2012-10-14 07:11:55,805
SA-0133-16-62,L,63546743,2012-02-25 06:19:07,830
SA-0210-42-47,L,62620342,2012-05-31 20:20:40,849
SA-0185-10-64,L,66783739,2011-03-26 03:25:58,518
SA-0312-94-95,L,68584679,2012-12-26 05:34:39,511
SA-0145-41-01,L,65922349,2012-06-11 02:21:26,225
SA-0279-91-74,L,65010697,2012-09-13 22:47:10,296
SA-0186-07-48,L,67212048,2011-10-27 00:19:45,312
SA-0055-36-68,L,61735090,2012-03-01 08:11:51,289
SA-0187-35-19,L,61574997,2012-12-11 22:33:24,506
SA-0401-55-12,L,65717155,2011-01-24 23:35:23,494
SA-0401-55-12,L,64684252,2011-05-15 01:00:25,201
SA-0182-19-79,L,68679157,2011-02-05 04:23:29,658
SA-0114-12-73,L,61773324,2012-05-07 20:41:03,557
SA-0263-79-37,L,66647584,2011-08-06 03:52:38,838
SA-0186-07-48,L,61766763,2012-07-10 22:01:28,805
SA-0055-36-68,L,61568474,2012-03-07 01:35:54,854
SA-0279-91-74,L,66522342,2011-07-31 18:23:00,291
SA-0343-60-69,L,64310854,2011-10-22 15:24:47,402
SA-0414-20-79,L,61406890,2012-03-02 02:55:06,588
SA-0107-05-98,L,60592370,2012-08-21 02:30:56,982
SA-0378-80-96,L,66508680,2012-03-18 00:23:39,375
SA-0021-95-06,L,68550556,2012-12-17 03:32:04,742
SA-0182-19-79,L,65910011,2012-06-23 18:56:36,218
SA-0185-10-64,L,60301622,2012-09-09 17:58:43,678
SA-0186-07-48,L,65526071,2012-08-11 17:11:13,969
SA-0092-93-02,L,62861005,2011-09-22 10:38:59,159
SA-0185-10-64,L,65409845,2011-12-10 05:39:09,152
SA-0009-04-02,L,69591821,2012-06-28 16:41:02,828
SA-0185-59-07,L,61694775,2012-03-15 09:42:14,970
SA-0144-10-84,L,61525298,2011-04-28 06:41:33,933
SA-0009-04-02,L,64253027,2011-08-02 18:20:50,524
SA-0151-98-79,L,62475977,2012-02-22 06:46:39,570
SA-0222-28-58,L,63896460,2011-10-27 19:11:54,114
SA-0187-35-19,L,60674940,2012-06-26 00:13:37,911
SA-0339-42-22,L,68720943,2012-08-29 05:23:15,938
SA-0114-12-73,L,64297319,2012-04-01 16:44:16,304
