AccNo,CallTime,Type,PhoneNo,During_in_secs
SA-0263-79-37,20/3/2012 17:58,L,60068881,2098
SA-0335-96-08,1/2/2012 17:56,L,60184011,2781
SA-0227-78-67,31/7/2011 17:32,L,65804356,1499
SA-0261-41-34,2/12/2011 13:55,L,68798814,2250
SA-0314-69-44,1/11/2011 2:23,L,63203273,1700
SA-0202-82-34,18/8/2011 23:14,L,60142333,3349
SA-0343-60-69,1/3/2011 22:38,L,61510396,1561
SA-0279-91-74,2/9/2011 5:31,L,61279621,1813
SA-0314-69-44,8/1/2011 14:27,L,64434617,3198
SA-0005-14-91,22/4/2011 22:08,L,60993142,449
SA-0378-80-96,14/7/2012 17:11,L,60261948,1484
SA-0414-86-48,22/9/2012 15:01,L,62494946,3047
SA-0222-28-58,27/6/2011 12:52,L,64070497,107
SA-0314-69-44,18/8/2011 22:01,L,62339886,1578
SA-0414-86-48,29/5/2012 20:17,L,66959827,2784
SA-0222-28-58,12/6/2011 10:00,L,69209908,1109
SA-0343-60-69,4/5/2012 12:26,L,68131658,1790
SA-0144-10-84,7/8/2011 1:16,L,63174226,1077
SA-0252-71-33,19/9/2012 15:11,L,60541551,3467
SA-0303-06-26,26/2/2012 4:24,L,68819955,309
SA-0187-35-19,14/10/2011 19:58,L,61539835,2976
SA-0182-19-79,26/7/2011 6:13,L,69207154,1074
SA-0220-61-46,9/6/2012 21:21,L,64597620,2520
SA-0107-05-98,21/8/2011 0:02,L,65863904,68
SA-0263-79-37,21/7/2012 8:30,L,60600324,2811
SA-0050-81-89,9/10/2011 13:58,L,62681440,1822
SA-0107-05-98,15/7/2012 0:39,L,68157094,676
SA-0202-82-34,23/8/2012 18:45,L,68473569,1032
SA-0063-02-33,25/5/2012 14:53,L,66996434,3138
SA-0112-53-34,20/5/2012 23:10,L,60946271,3518
SA-0187-35-19,25/1/2011 6:18,L,68581115,1615
SA-0339-42-22,31/7/2011 21:42,L,61421185,192
SA-0220-48-64,18/12/2012 23:39,L,60082088,2469
SA-0107-05-98,12/9/2012 22:46,L,67220375,3070
SA-0155-74-77,23/3/2012 4:15,L,63172128,2202
SA-0378-80-96,13/12/2012 22:21,L,69681769,94
SA-0263-79-37,25/4/2011 20:43,L,60259487,2846
SA-0314-69-44,28/1/2011 19:39,L,61966107,2668
SA-0021-95-06,8/6/2011 8:54,L,62064752,3368
SA-0343-60-69,11/5/2012 10:30,L,62071035,3055
SA-0361-84-31,25/7/2011 18:14,L,63778848,1857
SA-0335-96-08,27/6/2012 5:08,L,62717697,1551
SA-0005-14-91,28/7/2011 6:27,L,64502880,2911
SA-0009-04-02,30/1/2012 22:39,L,61932138,910
SA-0414-86-48,31/3/2011 9:47,L,69435174,455
SA-0303-06-26,30/8/2011 15:34,L,60413666,3486
SA-0220-61-46,29/2/2012 2:40,L,68842500,691
SA-0261-41-34,17/1/2011 20:24,L,66864523,2480
SA-0155-74-77,11/10/2011 11:30,L,65476858,1462
SA-0133-16-62,25/7/2011 2:28,L,66079218,1392
SA-0202-82-34,16/6/2012 21:45,L,62281637,3004
SA-0303-06-26,24/1/2011 15:16,L,63533409,2649
SA-0314-69-44,24/9/2011 9:26,L,64078533,2630
SA-0080-84-93,4/4/2011 0:04,L,65122586,3290
SA-0080-84-93,18/7/2011 0:41,L,69731303,908
SA-0414-86-48,9/2/2011 18:12,L,60399475,3447
SA-0185-59-07,5/7/2012 11:16,L,69206919,3081
SA-0361-84-31,27/11/2012 5:31,L,68340685,3580
SA-0033-12-88,30/8/2011 13:08,L,62702406,1957
SA-0220-61-46,12/4/2011 1:22,L,65166917,320
SA-0005-14-91,5/6/2011 15:22,L,67237074,1581
SA-0378-80-96,25/7/2012 11:45,L,67071796,3115
SA-0361-84-31,17/5/2011 0:25,L,67103734,885
SA-0227-78-67,13/3/2011 7:03,L,64205092,1278
SA-0261-41-34,13/4/2011 17:25,L,61138624,2901
SA-0361-84-31,10/11/2012 21:13,L,60893587,440
SA-0151-98-79,23/9/2011 2:37,L,68320466,2022
SA-0314-69-44,3/1/2012 6:31,L,60853411,2254
SA-0145-41-01,13/3/2011 18:48,L,61546642,2546
SA-0263-79-37,8/12/2011 0:37,L,65046700,1081
SA-0401-55-12,6/12/2011 12:57,L,67332945,846
SA-0147-43-82,24/1/2011 22:14,L,64575675,2543
SA-0263-79-37,21/4/2012 8:27,L,67884591,2594
SA-0005-14-91,2/3/2012 11:55,L,66026261,3052
SA-0220-61-46,6/2/2012 7:11,L,62727703,396
SA-0151-98-79,17/1/2011 15:51,L,63667288,1957
SA-0361-84-31,22/9/2012 12:07,L,63861803,2218
SA-0005-14-91,7/10/2011 23:40,L,65585332,2245
SA-0252-71-33,25/10/2011 1:39,L,65412223,1889
SA-0145-41-01,28/3/2012 0:30,L,67741246,3224
SA-0063-02-33,29/11/2011 16:31,L,65632969,2962
SA-0005-14-91,26/7/2012 16:14,L,65514238,2217
SA-0222-28-58,11/10/2012 2:36,L,60412436,626
SA-0249-45-54,17/12/2011 16:52,L,67311862,341
SA-0138-33-52,16/10/2012 4:40,L,60721323,1034
SA-0009-04-02,2/5/2012 12:13,L,63603484,1740
SA-0343-60-69,27/11/2012 3:25,L,60352540,3355
SA-0414-86-48,1/7/2011 20:04,L,66448073,1711
SA-0361-84-31,24/6/2012 21:27,L,67165687,3544
SA-0279-91-74,10/2/2011 23:01,L,61676936,2591
SA-0361-84-31,18/3/2011 22:03,L,65570184,1420
SA-0414-20-79,24/9/2011 5:42,L,61336566,1895
SA-0263-79-37,10/10/2012 4:07,L,64372137,3010
SA-0185-59-07,16/8/2011 23:08,L,66094054,1862
SA-0261-41-34,3/8/2012 17:31,L,68394534,2653
SA-0114-12-73,12/1/2012 18:22,L,61886405,1474
SA-0155-74-77,16/2/2012 17:52,L,65494125,751
SA-0033-12-88,30/12/2012 5:25,L,62808168,1883
SA-0220-48-64,7/3/2012 12:29,L,64921410,2799
